time;wx (rad/s);wy (rad/s);wz (rad/s)
0,793045;-0,09;-1,59;-0,03
1,793306;-0,01;0,75;0,02
2,793398;-0,10;0,72;-0,05
3,793043;0,01;0,33;-0,23
4,793285;-0,03;-0,15;-0,08
5,794031;-0,11;0,67;0,31
