time;wx (rad/s);wy (rad/s);wz (rad/s)
6,109584;0,03;-0,11;-0,13
6,113515;0,03;-0,11;-0,13
6,114638;0,03;-0,11;-0,13
6,118747;0,03;-0,10;-0,13
6,121841;0,03;-0,10;-0,13
6,122650;0,04;-0,09;-0,13
6,124489;0,04;-0,09;-0,13
6,126500;0,04;-0,09;-0,13
6,131810;0,04;-0,08;-0,13
6,132648;0,04;-0,08;-0,13
6,133781;0,04;-0,07;-0,12
6,136087;0,04;-0,07;-0,12
6,142773;0,04;-0,06;-0,12
6,143382;0,05;-0,06;-0,11
6,143659;0,05;-0,05;-0,11
6,145805;0,06;-0,04;-0,11
6,147820;0,06;-0,03;-0,10
6,149338;0,07;-0,03;-0,10
6,152457;0,08;-0,02;-0,09
6,154388;0,08;-0,01;-0,09
6,156908;0,09;-0,01;-0,09
6,160701;0,10;-0,00;-0,08
6,162974;0,10;0,00;-0,08
6,163949;0,11;0,01;-0,07
6,166824;0,12;0,02;-0,07
6,169992;0,13;0,02;-0,07
6,170471;0,13;0,02;-0,06
6,173201;0,14;0,03;-0,05
6,175766;0,14;0,03;-0,04
6,184181;0,15;0,03;-0,04
6,185218;0,15;0,04;-0,03
6,185647;0,15;0,04;-0,02
6,186015;0,16;0,05;-0,02
6,193238;0,16;0,05;-0,01
6,194269;0,16;0,05;-0,00
6,194664;0,17;0,06;0,00
6,195018;0,17;0,06;0,01
6,197428;0,17;0,07;0,01
6,199079;0,18;0,07;0,02
6,202178;0,18;0,08;0,02
6,204565;0,18;0,08;0,03
6,206313;0,18;0,08;0,04
6,208610;0,18;0,08;0,05
6,210627;0,17;0,09;0,05
6,213529;0,17;0,09;0,07
6,215771;0,17;0,08;0,07
6,218571;0,17;0,08;0,08
6,221329;0,16;0,08;0,09
6,222121;0,16;0,08;0,10
6,225523;0,15;0,08;0,11
6,226599;0,15;0,08;0,12
6,233372;0,15;0,08;0,13
6,234150;0,14;0,08;0,13
6,234512;0,13;0,08;0,14
6,243341;0,13;0,07;0,14
6,244367;0,13;0,08;0,14
6,244672;0,12;0,08;0,15
6,244901;0,12;0,08;0,15
6,245924;0,11;0,08;0,15
6,247533;0,10;0,08;0,15
6,249681;0,10;0,08;0,15
6,253765;0,09;0,08;0,16
6,254514;0,08;0,08;0,16
6,258205;0,07;0,09;0,16
6,261159;0,07;0,09;0,16
6,262926;0,06;0,09;0,16
6,264137;0,05;0,10;0,16
6,266447;0,05;0,10;0,15
6,268970;0,04;0,10;0,15
6,271080;0,03;0,11;0,15
6,273435;0,03;0,11;0,15
6,275455;0,03;0,12;0,15
6,278955;0,02;0,12;0,14
6,280255;0,02;0,12;0,14
6,282742;0,02;0,13;0,13
6,285821;0,02;0,13;0,13
6,288126;0,01;0,13;0,12
6,290388;0,01;0,14;0,12
6,292753;0,02;0,14;0,12
6,294650;0,01;0,14;0,11
6,296962;0,02;0,14;0,11
6,299043;0,02;0,15;0,10
6,302716;0,02;0,15;0,10
6,304952;0,02;0,15;0,09
6,305925;0,02;0,15;0,09
6,309345;0,02;0,16;0,08
6,309972;0,02;0,16;0,08
6,313207;0,02;0,16;0,08
6,316454;0,02;0,16;0,07
6,318654;0,02;0,16;0,07
6,324137;0,01;0,17;0,07
6,324977;0,00;0,16;0,07
6,325368;-0,00;0,16;0,07
6,327727;-0,01;0,16;0,07
6,337297;-0,02;0,16;0,07
6,337980;-0,02;0,16;0,07
6,338225;-0,03;0,16;0,07
6,338399;-0,04;0,16;0,07
6,338552;-0,04;0,17;0,07
6,340934;-0,05;0,17;0,07
6,343070;-0,06;0,17;0,07
6,345712;-0,06;0,18;0,07
6,347931;-0,07;0,18;0,08
6,350060;-0,08;0,18;0,08
6,353484;-0,08;0,18;0,08
6,355032;-0,09;0,19;0,08
6,357242;-0,09;0,19;0,08
6,360137;-0,10;0,19;0,08
6,363383;-0,10;0,20;0,09
6,364448;-0,11;0,20;0,08
6,367148;-0,11;0,21;0,09
6,369832;-0,11;0,21;0,09
6,372233;-0,12;0,21;0,09
6,373531;-0,12;0,22;0,09
6,376094;-0,12;0,22;0,09
6,378345;-0,12;0,22;0,09
6,380884;-0,13;0,23;0,09
6,382444;-0,13;0,23;0,09
6,386566;-0,13;0,23;0,09
6,388008;-0,13;0,24;0,09
6,389847;-0,13;0,24;0,09
6,393152;-0,14;0,24;0,08
6,395447;-0,13;0,25;0,08
6,397722;-0,13;0,25;0,08
6,399810;-0,14;0,25;0,08
6,402205;-0,13;0,25;0,08
6,404350;-0,13;0,26;0,08
6,406197;-0,13;0,26;0,07
6,408379;-0,13;0,26;0,07
6,412258;-0,12;0,26;0,07
6,413289;-0,12;0,26;0,06
6,416685;-0,11;0,26;0,06
6,418447;-0,11;0,26;0,05
6,421119;-0,10;0,26;0,05
6,422490;-0,09;0,25;0,04
6,425019;-0,08;0,25;0,04
6,427369;-0,07;0,25;0,03
6,432551;-0,06;0,24;0,03
6,433384;-0,05;0,24;0,02
6,434870;-0,04;0,23;0,01
6,447149;-0,02;0,22;0,01
6,447956;-0,01;0,21;0,00
6,448272;0,00;0,21;-0,00
6,448524;0,02;0,20;-0,01
6,448767;0,03;0,19;-0,01
6,448989;0,04;0,18;-0,01
6,451088;0,05;0,18;-0,01
6,453127;0,05;0,17;-0,01
6,455142;0,06;0,17;-0,01
6,457687;0,07;0,17;-0,01
6,459731;0,07;0,16;0,00
6,462718;0,07;0,16;0,01
6,464520;0,07;0,16;0,01
6,466632;0,07;0,16;0,02
6,469861;0,06;0,16;0,02
6,471090;0,06;0,16;0,03
6,473788;0,05;0,16;0,03
6,476135;0,05;0,16;0,04
6,478409;0,05;0,16;0,04
6,481729;0,04;0,16;0,04
6,484143;0,04;0,16;0,03
6,486405;0,04;0,16;0,03
6,487924;0,03;0,17;0,02
6,489719;0,03;0,17;0,01
6,494016;0,03;0,17;0,01
6,494495;0,02;0,17;-0,00
6,497134;0,02;0,17;-0,01
6,499262;0,02;0,18;-0,02
6,502995;0,01;0,18;-0,03
6,503903;0,00;0,18;-0,03
6,506459;-0,00;0,18;-0,04
6,509543;-0,01;0,19;-0,04
6,512384;-0,02;0,19;-0,05
6,513440;-0,03;0,19;-0,05
6,515726;-0,04;0,19;-0,05
6,518652;-0,05;0,20;-0,06
6,521304;-0,07;0,20;-0,06
6,523249;-0,08;0,20;-0,06
6,526111;-0,09;0,21;-0,07
6,531456;-0,11;0,22;-0,07
6,532560;-0,12;0,23;-0,08
6,532943;-0,14;0,22;-0,08
6,534739;-0,14;0,22;-0,09
6,545176;-0,16;0,22;-0,10
6,545939;-0,16;0,21;-0,11
6,546214;-0,17;0,21;-0,12
6,546442;-0,18;0,21;-0,12
6,546633;-0,18;0,22;-0,13
6,548809;-0,18;0,23;-0,14
6,551291;-0,18;0,23;-0,15
6,552969;-0,18;0,23;-0,16
6,555242;-0,17;0,22;-0,17
6,557510;-0,16;0,22;-0,18
6,560351;-0,15;0,21;-0,19
6,562282;-0,14;0,21;-0,20
6,565400;-0,13;0,20;-0,21
6,567390;-0,13;0,20;-0,22
6,569792;-0,11;0,20;-0,23
6,570902;-0,10;0,19;-0,23
6,574530;-0,09;0,19;-0,24
6,577111;-0,08;0,19;-0,25
6,579084;-0,07;0,19;-0,26
6,581426;-0,07;0,20;-0,26
6,583948;-0,06;0,20;-0,27
6,586318;-0,06;0,20;-0,27
6,588474;-0,05;0,21;-0,28
6,590391;-0,05;0,21;-0,28
6,592059;-0,05;0,21;-0,29
6,595730;-0,05;0,22;-0,29
6,596748;-0,05;0,22;-0,30
6,600858;-0,04;0,23;-0,30
6,603892;-0,04;0,23;-0,31
6,604792;-0,04;0,24;-0,31
6,606629;-0,04;0,25;-0,32
6,609536;-0,04;0,26;-0,32
6,612503;-0,04;0,27;-0,32
6,613812;-0,03;0,28;-0,33
6,617041;-0,03;0,29;-0,33
6,619990;-0,03;0,30;-0,33
6,620846;-0,02;0,32;-0,34
6,623431;-0,02;0,33;-0,34
6,626025;-0,02;0,34;-0,35
6,631658;-0,01;0,35;-0,35
6,632571;-0,01;0,37;-0,36
6,633016;-0,00;0,38;-0,36
6,643863;-0,00;0,40;-0,37
6,644548;0,00;0,41;-0,38
6,644818;0,01;0,43;-0,39
6,645044;0,01;0,44;-0,39
6,645277;0,02;0,45;-0,40
6,646639;0,02;0,47;-0,41
6,648717;0,02;0,48;-0,41
6,652301;0,03;0,49;-0,42
6,653067;0,03;0,51;-0,42
6,657933;0,04;0,52;-0,42
6,658662;0,04;0,54;-0,43
6,661747;0,05;0,55;-0,43
6,662689;0,05;0,57;-0,43
6,664836;0,06;0,58;-0,43
6,670056;0,07;0,59;-0,43
6,670873;0,07;0,60;-0,43
6,671312;0,08;0,62;-0,42
6,674295;0,07;0,64;-0,41
6,677575;0,08;0,66;-0,40
6,678392;0,07;0,68;-0,39
6,681209;0,06;0,70;-0,37
6,683183;0,05;0,72;-0,35
6,685649;0,03;0,74;-0,33
6,688471;0,01;0,75;-0,31
6,691019;-0,01;0,76;-0,29
6,693808;-0,04;0,78;-0,28
6,695264;-0,06;0,79;-0,27
6,697927;-0,09;0,81;-0,26
6,700345;-0,12;0,82;-0,25
6,702582;-0,15;0,84;-0,25
6,704349;-0,18;0,86;-0,25
6,706655;-0,21;0,87;-0,25
6,710647;-0,24;0,89;-0,25
6,711545;-0,26;0,90;-0,25
6,713994;-0,28;0,92;-0,25
6,716834;-0,30;0,93;-0,25
6,719042;-0,32;0,95;-0,25
6,720642;-0,34;0,96;-0,26
6,723670;-0,35;0,98;-0,26
6,725807;-0,37;1,00;-0,27
6,731118;-0,38;1,02;-0,28
6,731990;-0,39;1,04;-0,29
6,732309;-0,39;1,06;-0,30
6,743960;-0,40;1,08;-0,32
6,744616;-0,40;1,10;-0,34
6,744836;-0,41;1,12;-0,36
6,745004;-0,40;1,13;-0,39
6,745167;-0,40;1,14;-0,41
6,746960;-0,40;1,13;-0,44
6,749328;-0,40;1,13;-0,47
6,751441;-0,39;1,12;-0,49
6,753312;-0,39;1,12;-0,52
6,755178;-0,38;1,13;-0,54
6,758562;-0,37;1,14;-0,57
6,761217;-0,35;1,14;-0,59
6,762415;-0,33;1,15;-0,62
6,765546;-0,31;1,15;-0,64
6,769374;-0,29;1,15;-0,66
6,770269;-0,26;1,14;-0,68
6,771578;-0,24;1,13;-0,69
6,775773;-0,21;1,12;-0,71
6,777973;-0,18;1,11;-0,72
6,778894;-0,15;1,10;-0,73
6,781927;-0,12;1,08;-0,73
6,784017;-0,09;1,06;-0,74
6,785779;-0,06;1,04;-0,74
6,788958;-0,02;1,02;-0,74
6,791075;0,01;1,00;-0,73
6,793461;0,05;0,98;-0,73
6,795063;0,08;0,95;-0,71
6,798195;0,12;0,93;-0,70
6,800191;0,16;0,92;-0,68
6,802781;0,19;0,90;-0,66
6,804507;0,22;0,88;-0,64
6,807435;0,25;0,86;-0,61
6,809282;0,27;0,85;-0,58
6,811706;0,30;0,83;-0,55
6,813873;0,32;0,81;-0,52
6,816110;0,33;0,79;-0,49
6,819061;0,35;0,78;-0,45
6,820785;0,36;0,76;-0,42
6,824314;0,36;0,74;-0,38
6,830193;0,36;0,72;-0,35
6,830993;0,36;0,70;-0,32
6,831309;0,36;0,67;-0,28
6,833233;0,36;0,65;-0,26
6,842199;0,35;0,63;-0,23
6,842936;0,34;0,60;-0,20
6,843182;0,32;0,58;-0,18
6,843386;0,31;0,56;-0,15
6,844783;0,30;0,55;-0,13
6,846084;0,28;0,52;-0,11
6,849726;0,27;0,51;-0,10
6,851364;0,25;0,50;-0,08
6,853569;0,23;0,49;-0,07
6,856564;0,21;0,48;-0,06
6,860045;0,19;0,48;-0,04
6,860949;0,17;0,47;-0,03
6,862733;0,15;0,47;-0,02
6,865644;0,14;0,46;-0,01
6,869095;0,11;0,44;-0,00
6,870010;0,09;0,43;0,01
6,872791;0,08;0,41;0,02
6,875282;0,06;0,40;0,02
6,877865;0,05;0,38;0,03
6,878868;0,03;0,36;0,04
6,882113;0,02;0,34;0,04
6,884009;0,02;0,32;0,04
6,886498;0,02;0,30;0,05
6,889613;0,02;0,28;0,06
6,891374;0,02;0,26;0,06
6,894404;0,03;0,24;0,07
6,895310;0,04;0,22;0,08
6,898210;0,05;0,20;0,09
6,901406;0,06;0,18;0,10
6,902473;0,08;0,16;0,12
6,904686;0,09;0,14;0,13
6,907744;0,10;0,12;0,15
6,909992;0,12;0,10;0,17
6,911022;0,14;0,07;0,19
6,914788;0,15;0,05;0,22
6,916743;0,17;0,03;0,24
6,919354;0,18;0,01;0,26
6,920618;0,19;-0,01;0,28
6,923210;0,20;-0,03;0,31
6,925711;0,21;-0,04;0,33
6,929947;0,21;-0,06;0,36
6,930574;0,21;-0,08;0,38
6,934182;0,21;-0,09;0,40
6,940019;0,21;-0,11;0,42
6,940712;0,21;-0,12;0,44
6,940963;0,20;-0,13;0,45
6,942995;0,20;-0,14;0,47
6,944029;0,19;-0,15;0,48
6,947708;0,18;-0,16;0,49
6,949894;0,17;-0,16;0,50
6,952168;0,16;-0,17;0,52
6,953677;0,15;-0,17;0,52
6,955859;0,14;-0,17;0,53
6,959616;0,13;-0,18;0,54
6,960508;0,12;-0,18;0,55
6,962862;0,10;-0,18;0,56
6,965695;0,09;-0,18;0,57
6,968548;0,08;-0,18;0,57
6,969894;0,06;-0,18;0,58
6,972080;0,05;-0,19;0,58
6,975406;0,03;-0,20;0,59
6,977086;0,02;-0,20;0,59
6,978937;0,01;-0,21;0,59
6,981329;0,00;-0,21;0,59
6,985598;-0,01;-0,22;0,59
6,986464;-0,01;-0,23;0,59
6,988831;-0,02;-0,23;0,59
6,991969;-0,01;-0,24;0,59
6,994608;-0,01;-0,24;0,59
6,995535;-0,01;-0,25;0,59
6,998551;-0,01;-0,26;0,59
7,000366;0,00;-0,26;0,58
7,002462;0,01;-0,27;0,58
7,005364;0,01;-0,27;0,58
7,008594;0,02;-0,28;0,58
7,010796;0,02;-0,28;0,58
7,011681;0,03;-0,29;0,58
7,014384;0,04;-0,29;0,58
7,017337;0,04;-0,29;0,58
7,019556;0,05;-0,30;0,58
7,021826;0,05;-0,30;0,58
7,023965;0,06;-0,31;0,57
7,028468;0,05;-0,31;0,57
7,029107;0,06;-0,31;0,57
7,033482;0,07;-0,31;0,56
7,034253;0,07;-0,31;0,56
7,040255;0,08;-0,31;0,55
7,040830;0,08;-0,31;0,55
7,041038;0,08;-0,30;0,54
7,042585;0,09;-0,29;0,53
7,044251;0,10;-0,29;0,53
7,047140;0,10;-0,28;0,52
7,049092;0,11;-0,28;0,51
7,051240;0,11;-0,27;0,50
7,053626;0,12;-0,26;0,49
7,055914;0,13;-0,25;0,48
7,058479;0,13;-0,24;0,47
7,061439;0,15;-0,24;0,46
7,063916;0,16;-0,23;0,45
7,066022;0,16;-0,22;0,45
7,067982;0,17;-0,21;0,44
7,070301;0,19;-0,20;0,43
7,072212;0,20;-0,19;0,43
7,075759;0,21;-0,18;0,43
7,076823;0,22;-0,18;0,42
7,079576;0,23;-0,17;0,42
7,082001;0,24;-0,16;0,42
7,084389;0,25;-0,15;0,42
7,087344;0,26;-0,14;0,42
7,089378;0,27;-0,12;0,42
7,091951;0,27;-0,11;0,42
7,094003;0,28;-0,10;0,42
7,095638;0,28;-0,09;0,43
7,099354;0,29;-0,07;0,43
7,101974;0,29;-0,06;0,43
7,102744;0,30;-0,05;0,43
7,105777;0,29;-0,03;0,43
7,109675;0,30;-0,00;0,42
7,110570;0,30;0,02;0,42
7,111756;0,30;0,04;0,41
7,114096;0,30;0,07;0,41
7,117337;0,29;0,10;0,40
7,118920;0,28;0,15;0,39
7,121208;0,26;0,19;0,38
7,124401;0,25;0,22;0,38
7,126739;0,24;0,24;0,37
7,128633;0,22;0,26;0,36
7,131111;0,20;0,29;0,35
7,137764;0,19;0,32;0,34
7,138673;0,18;0,35;0,33
7,139010;0,16;0,37;0,32
7,140402;0,15;0,41;0,31
7,152890;0,13;0,44;0,30
7,153676;0,12;0,46;0,29
7,153905;0,11;0,49;0,28
7,154073;0,10;0,51;0,28
7,154229;0,09;0,53;0,27
7,154374;0,07;0,55;0,27
7,156310;0,07;0,56;0,26
7,158473;0,06;0,58;0,26
7,160582;0,05;0,58;0,25
7,163254;0,05;0,60;0,25
7,166241;0,04;0,61;0,25
7,167808;0,04;0,61;0,24
7,170230;0,04;0,62;0,23
7,172485;0,03;0,63;0,23
7,175360;0,04;0,64;0,22
7,176850;0,04;0,64;0,21
7,179245;0,04;0,65;0,20
7,181578;0,04;0,65;0,19
7,184354;0,04;0,65;0,18
7,187223;0,05;0,64;0,17
7,188727;0,05;0,63;0,15
7,191886;0,06;0,63;0,14
7,194405;0,06;0,64;0,12
7,195930;0,06;0,64;0,11
7,199012;0,07;0,64;0,09
7,201172;0,07;0,64;0,08
7,202566;0,07;0,64;0,06
7,206609;0,08;0,62;0,05
7,209638;0,08;0,61;0,03
7,210525;0,08;0,61;0,01
7,212070;0,09;0,59;0,00
7,215539;0,09;0,57;-0,01
7,218062;0,10;0,54;-0,03
7,219363;0,12;0,52;-0,04
7,221696;0,13;0,51;-0,06
7,226732;0,14;0,50;-0,06
7,227749;0,14;0,49;-0,07
7,228618;0,15;0,49;-0,07
7,231703;0,15;0,48;-0,07
7,237852;0,15;0,47;-0,07
7,238736;0,15;0,46;-0,07
7,239221;0,14;0,44;-0,07
7,240655;0,13;0,43;-0,06
7,254610;0,12;0,41;-0,06
7,255563;0,10;0,39;-0,06
7,255891;0,09;0,37;-0,05
7,256130;0,07;0,36;-0,05
7,256325;0,06;0,34;-0,05
7,256533;0,04;0,33;-0,04
7,256728;0,01;0,31;-0,04
7,259580;-0,01;0,30;-0,04
7,260933;-0,03;0,29;-0,03
7,263563;-0,05;0,28;-0,03
7,267747;-0,07;0,27;-0,03
7,268707;-0,09;0,26;-0,03
7,270814;-0,11;0,25;-0,03
7,273937;-0,13;0,24;-0,03
7,277390;-0,15;0,23;-0,04
7,278278;-0,16;0,22;-0,04
7,281382;-0,17;0,21;-0,04
7,281963;-0,18;0,20;-0,05
7,284652;-0,19;0,21;-0,05
7,286595;-0,21;0,24;-0,06
7,288937;-0,22;0,24;-0,06
7,292307;-0,22;0,22;-0,06
7,293457;-0,23;0,19;-0,06
7,297287;-0,22;0,14;-0,07
7,299790;-0,21;0,12;-0,08
7,302348;-0,20;0,10;-0,09
7,303168;-0,19;0,09;-0,09
7,306233;-0,18;0,09;-0,10
7,308714;-0,17;0,09;-0,10
7,310749;-0,16;0,09;-0,10
7,312622;-0,15;0,09;-0,11
7,315682;-0,14;0,08;-0,11
7,318235;-0,14;0,08;-0,10
7,319239;-0,13;0,07;-0,10
7,322194;-0,13;0,06;-0,10
7,326427;-0,12;0,06;-0,10
7,327288;-0,12;0,05;-0,09
7,328714;-0,12;0,05;-0,09
7,331362;-0,11;0,04;-0,08
7,336862;-0,11;0,04;-0,08
7,337739;-0,11;0,04;-0,08
7,338152;-0,11;0,04;-0,08
7,340681;-0,11;0,04;-0,07
7,351239;-0,11;0,04;-0,07
7,352173;-0,11;0,04;-0,07
7,352492;-0,11;0,05;-0,06
7,352779;-0,12;0,08;-0,06
7,353071;-0,13;0,12;-0,05
7,354919;-0,15;0,14;-0,05
7,358897;-0,16;0,14;-0,04
7,360046;-0,16;0,14;-0,04
7,361136;-0,16;0,13;-0,04
7,364184;-0,17;0,14;-0,04
7,365851;-0,17;0,14;-0,04
7,368152;-0,17;0,14;-0,04
7,370759;-0,17;0,14;-0,05
7,372254;-0,16;0,15;-0,05
7,375951;-0,16;0,15;-0,06
7,377466;-0,15;0,16;-0,06
7,379858;-0,15;0,18;-0,06
7,383683;-0,14;0,19;-0,06
7,384507;-0,13;0,20;-0,06
7,386672;-0,13;0,21;-0,06
7,388939;-0,12;0,22;-0,06
7,391328;-0,12;0,23;-0,06
7,394389;-0,11;0,25;-0,06
7,396369;-0,11;0,26;-0,06
7,399530;-0,12;0,28;-0,05
7,400746;-0,12;0,30;-0,05
7,403427;-0,12;0,31;-0,05
7,406646;-0,13;0,33;-0,05
7,408912;-0,14;0,35;-0,05
7,410187;-0,14;0,36;-0,05
7,412559;-0,15;0,37;-0,06
7,416589;-0,16;0,38;-0,06
7,417406;-0,17;0,38;-0,07
7,420154;-0,18;0,39;-0,08
7,422546;-0,18;0,39;-0,09
7,425312;-0,17;0,39;-0,10
7,426497;-0,17;0,39;-0,12
7,429004;-0,16;0,39;-0,14
7,431850;-0,14;0,39;-0,16
7,435723;-0,12;0,38;-0,18
7,436590;-0,10;0,37;-0,21
7,438417;-0,07;0,36;-0,23
7,448322;-0,03;0,36;-0,25
7,449000;0,01;0,35;-0,27
7,449256;0,05;0,33;-0,28
7,449449;0,09;0,32;-0,30
7,449613;0,13;0,30;-0,31
7,453034;0,17;0,28;-0,31
7,454514;0,21;0,27;-0,32
7,456569;0,24;0,26;-0,31
7,458670;0,27;0,25;-0,31
7,462297;0,29;0,26;-0,29
7,464506;0,31;0,27;-0,28
7,467342;0,31;0,28;-0,26
7,468638;0,30;0,30;-0,24
7,471357;0,28;0,32;-0,22
7,472852;0,25;0,34;-0,20
7,475848;0,22;0,36;-0,18
7,478321;0,18;0,37;-0,17
7,481196;0,14;0,37;-0,16
7,484099;0,10;0,37;-0,15
7,484946;0,06;0,37;-0,15
7,487020;0,02;0,37;-0,15
7,489839;-0,01;0,36;-0,16
7,492332;-0,04;0,35;-0,16
7,494826;-0,06;0,34;-0,18
7,496754;-0,09;0,33;-0,19
7,500255;-0,10;0,33;-0,21
7,501133;-0,11;0,32;-0,23
7,503030;-0,11;0,32;-0,25
7,505707;-0,11;0,32;-0,27
7,508264;-0,10;0,32;-0,29
7,510440;-0,09;0,32;-0,31
7,512930;-0,09;0,32;-0,32
7,516316;-0,07;0,32;-0,33
7,517247;-0,06;0,32;-0,34
7,519978;-0,06;0,32;-0,35
7,521827;-0,04;0,31;-0,36
7,524285;-0,03;0,31;-0,36
7,526655;-0,02;0,31;-0,36
7,528911;-0,01;0,30;-0,37
7,531425;0,00;0,30;-0,37
7,537010;0,02;0,30;-0,37
7,537930;0,04;0,30;-0,36
7,538473;0,05;0,29;-0,36
7,551827;0,07;0,29;-0,36
7,552550;0,09;0,29;-0,36
7,552802;0,11;0,28;-0,36
7,552988;0,13;0,27;-0,36
7,553171;0,15;0,25;-0,37
7,553333;0,18;0,23;-0,37
7,555726;0,20;0,20;-0,37
7,557965;0,22;0,18;-0,37
7,559531;0,25;0,15;-0,37
7,562432;0,28;0,12;-0,37
7,566145;0,30;0,11;-0,37
7,566840;0,33;0,09;-0,37
7,569005;0,35;0,07;-0,36
7,571713;0,36;0,05;-0,36
7,573127;0,38;0,04;-0,36
7,575871;0,38;0,03;-0,36
7,577832;0,39;0,02;-0,35
7,581139;0,39;0,01;-0,35
7,583269;0,38;0,01;-0,34
7,585435;0,37;0,01;-0,34
7,586921;0,35;0,01;-0,34
7,590412;0,33;0,01;-0,34
7,591759;0,31;0,02;-0,34
7,594016;0,29;0,02;-0,35
7,596557;0,27;0,02;-0,35
7,599078;0,25;0,01;-0,36
7,601891;0,23;0,00;-0,38
7,603439;0,21;-0,01;-0,39
7,607177;0,20;-0,02;-0,40
7,608194;0,18;-0,03;-0,41
7,610529;0,17;-0,04;-0,42
7,612946;0,16;-0,05;-0,43
7,615288;0,15;-0,06;-0,44
7,617338;0,14;-0,06;-0,44
7,619688;0,13;-0,06;-0,45
7,622567;0,13;-0,07;-0,44
7,627282;0,12;-0,07;-0,44
7,628179;0,12;-0,08;-0,44
7,629708;0,11;-0,08;-0,43
7,636933;0,11;-0,09;-0,42
7,637486;0,11;-0,10;-0,41
7,637683;0,10;-0,10;-0,40
7,638286;0,10;-0,11;-0,38
7,640432;0,09;-0,12;-0,37
7,642881;0,09;-0,12;-0,35
7,645122;0,09;-0,13;-0,34
7,648487;0,07;-0,13;-0,32
7,650429;0,07;-0,13;-0,31
7,652449;0,06;-0,14;-0,29
7,654410;0,05;-0,14;-0,28
7,656963;0,05;-0,14;-0,27
7,658984;0,05;-0,13;-0,26
7,662385;0,05;-0,13;-0,26
7,664389;0,04;-0,13;-0,25
7,666846;0,04;-0,13;-0,24
7,668740;0,05;-0,13;-0,24
7,672096;0,05;-0,13;-0,24
7,672668;0,05;-0,13;-0,23
7,675982;0,06;-0,13;-0,23
7,679256;0,06;-0,13;-0,23
7,680980;0,07;-0,13;-0,23
7,683771;0,08;-0,13;-0,22
7,685806;0,08;-0,13;-0,22
7,688050;0,08;-0,13;-0,21
7,690361;0,08;-0,13;-0,20
7,692874;0,08;-0,14;-0,19
7,694820;0,08;-0,15;-0,18
7,697358;0,07;-0,16;-0,17
7,700018;0,06;-0,17;-0,16
7,701310;0,06;-0,18;-0,15
7,704203;0,05;-0,19;-0,14
7,708216;0,04;-0,20;-0,13
7,709065;0,03;-0,20;-0,12
7,711545;0,02;-0,21;-0,11
7,713211;0,01;-0,21;-0,10
7,716116;0,00;-0,22;-0,09
7,717692;-0,01;-0,22;-0,08
7,719997;-0,01;-0,23;-0,07
7,723025;-0,02;-0,24;-0,06
7,724651;-0,03;-0,24;-0,05
7,726749;-0,03;-0,25;-0,04
7,730612;-0,04;-0,25;-0,03
7,736257;-0,04;-0,25;-0,02
7,737091;-0,04;-0,25;-0,02
7,737465;-0,05;-0,25;-0,01
7,739330;-0,04;-0,26;-0,01
7,750716;-0,04;-0,26;-0,01
7,751716;-0,04;-0,26;-0,00
7,752076;-0,04;-0,26;-0,01
7,752410;-0,04;-0,26;-0,01
7,752675;-0,04;-0,26;-0,01
7,752982;-0,03;-0,26;-0,02
7,756257;-0,03;-0,26;-0,02
7,757312;-0,03;-0,25;-0,03
7,759707;-0,03;-0,25;-0,03
7,761694;-0,03;-0,24;-0,04
7,766042;-0,02;-0,23;-0,04
7,766669;-0,01;-0,22;-0,04
7,768912;-0,00;-0,21;-0,05
7,771352;0,01;-0,19;-0,06
7,774640;0,03;-0,18;-0,07
7,776295;0,05;-0,17;-0,07
7,778664;0,06;-0,16;-0,08
7,781063;0,09;-0,15;-0,09
7,782814;0,11;-0,15;-0,10
7,785192;0,13;-0,14;-0,10
7,788864;0,15;-0,14;-0,11
7,791107;0,17;-0,14;-0,11
7,792119;0,18;-0,13;-0,12
7,794309;0,20;-0,13;-0,12
7,798719;0,20;-0,12;-0,12
7,799610;0,21;-0,11;-0,12
7,801616;0,22;-0,11;-0,12
7,804261;0,22;-0,11;-0,12
7,806678;0,21;-0,10;-0,12
7,808387;0,21;-0,10;-0,12
7,810880;0,19;-0,10;-0,12
7,813610;0,19;-0,10;-0,12
7,815922;0,17;-0,09;-0,12
7,818759;0,16;-0,08;-0,12
7,821178;0,15;-0,07;-0,12
7,823352;0,14;-0,06;-0,11
7,824533;0,13;-0,06;-0,11
7,827012;0,12;-0,06;-0,11
7,830104;0,11;-0,05;-0,10
7,835152;0,10;-0,05;-0,10
7,836210;0,09;-0,05;-0,09
7,836626;0,08;-0,04;-0,09
7,849675;0,07;-0,03;-0,08
7,850405;0,06;-0,03;-0,07
7,850676;0,06;-0,03;-0,06
7,850913;0,05;-0,02;-0,05
7,851099;0,05;-0,00;-0,04
7,851292;0,04;0,01;-0,03
7,854452;0,03;0,02;-0,02
7,854955;0,03;0,04;-0,01
7,857449;0,02;0,05;0,01
7,859945;0,02;0,07;0,02
7,862366;0,02;0,07;0,03
7,864773;0,01;0,08;0,04
7,866582;0,02;0,08;0,05
7,869288;0,03;0,08;0,06
7,873116;0,04;0,06;0,07
7,873928;0,05;0,05;0,07
7,876905;0,07;0,03;0,07
7,879135;0,08;0,00;0,08
7,881979;0,08;-0,01;0,08
7,882782;0,07;0,00;0,08
7,885362;0,05;0,02;0,07
7,888344;0,02;0,03;0,07
7,890553;-0,01;0,03;0,07
